Nome;Disciplinas;Endereço;Período;Data de Matrícula;Data de Nascimento;Percentual de Bolsa;Valor da Mensalidade;Data Prevista de Conclusão
Missy Cooper;'[{"disciplina": "Matemática", "disciplina_id": 1}, {"disciplina": "História", "disciplina_id": 2}]';'[{"rua": "Av. Brasil", "numero": "1234", "bairro": "Centro", "cidade": "São Paulo", "estado": "SP", "cep": "01000-000", "emails": ["alice.silva@example.com", "alice.silva@outlook.com"]}, {"rua": "Rua dos Bobos", "numero": "0", "bairro": "Silêncio", "cidade": "São Paulo", "estado": "SP", "cep": "01001-001", "emails": ["alice.silva@empresa.com"]}]';2º ano;2022-02-15;2007-03-21;50%;1500.00;2024-12-15
Sheldon Cooper;'[{"disciplina": "Química", "disciplina_id": 3}]';'[{"rua": "Rua das Flores", "numero": "4321", "bairro": "Jardim", "cidade": "Rio de Janeiro", "estado": "RJ", "cep": "22000-000", "emails": ["bruno.costa@example.com"]}]';3º ano;2021-01-10;2006-02-26;100%;2000.00;2024-12-15
George Cooper Jr.;'[{"disciplina": "Física", "disciplina_id": 5}]';'[{"rua": "Rua das Oliveira", "numero": "24", "bairro": "Granja Verde", "cidade": "Juatuba", "estado": "MG", "cep": "33000-000", "emails": ["bruno.costa@example.com"]}]';1º ano;2023-03-11;2008-08-15;30%;1400.00;2026-12-15
Leonard Hofstadter;'[{"disciplina": "Matemática", "disciplina_id": 1}, {"disciplina": "História", "disciplina_id": 2}]';'[{"rua": "Av. Brasil", "numero": "1234", "bairro": "Centro", "cidade": "São Paulo", "estado": "SP", "cep": "01000-213", "emails": ["alice.silva@example.com", "alice.silva@outlook.com"]}, {"rua": "Rua dos Bobos", "numero": "0", "bairro": "Silêncio", "cidade": "São Paulo", "estado": "SP", "cep": "01001-213", "emails": ["alice.silva@empresa.com"]}]';2º ano;2022-02-15;2007-03-21;25%;1600.00;2025-12-15
Bernadette Maryann Rostenkowki;'[{"disciplina": "Biologia", "disciplina_id": 4}]';'[{"rua": "Rua das Palmeiras", "numero": "567", "bairro": "Copacabana", "cidade": "Rio de Janeiro", "estado": "RJ", "cep": "22011-000", "emails": ["bernadette.rosen@example.com"]}]';4º ano;2020-03-25;2005-12-10;80%;1800.00;2024-12-15
Penny Hofstadter;'[{"disciplina": "Artes", "disciplina_id": 6}]';'[{"rua": "Rua Nova", "numero": "789", "bairro": "Barra", "cidade": "Rio de Janeiro", "estado": "RJ", "cep": "22021-000", "emails": ["penny.hof@example.com"]}]';3º ano;2021-05-18;2006-12-02;10%;1700.00;2025-12-15
Hovard Wolovitz;'[{"disciplina": "Engenharia", "disciplina_id": 7}]';'[{"rua": "Rua dos Engenheiros", "numero": "101", "bairro": "Industrial", "cidade": "São Paulo", "estado": "SP", "cep": "01100-000", "emails": ["howard.w@example.com"]}]';4º ano;2020-09-01;2005-12-25;100%;2000.00;2024-12-15
Amy Farrah Fowler;'[{"disciplina": "Neurociência", "disciplina_id": 8}]';'[{"rua": "Rua da Ciência", "numero": "202", "bairro": "Centro", "cidade": "Campinas", "estado": "SP", "cep": "13000-000", "emails": ["amy.fowler@example.com"]}]';4º ano;2020-08-22;2005-11-15;70%;1900.00;2024-12-15
Rajesh Koothrappali;'[{"disciplina": "Astronomia", "disciplina_id": 9}]';'[{"rua": "Rua das Estrelas", "numero": "303", "bairro": "Gávea", "cidade": "Rio de Janeiro", "estado": "RJ", "cep": "22450-000", "emails": ["rajesh.k@example.com"]}]';3º ano;2021-03-05;2006-04-08;50%;1750.00;2025-12-15
Prya Koothrappali;'[{"disciplina": "Direito", "disciplina_id": 10}]';'[{"rua": "Rua da Justiça", "numero": "404", "bairro": "Bela Vista", "cidade": "São Paulo", "estado": "SP", "cep": "01300-000", "emails": ["prya.k@example.com"]}]';2º ano;2022-02-28;2007-05-19;60%;1650.00;2026-12-15
